#datetime	water.surf.Q.downstream-rs
1997-06-05T08:25:00	0.47609159
1997-06-05T08:26:00	0.48428968
1997-06-05T08:27:00	0.49223566
1997-06-05T08:28:00	0.49991164
1997-06-05T08:29:00	0.50729918
1997-06-05T08:30:00	0.51438111
1997-06-05T08:31:00	0.52114117
1997-06-05T08:32:00	0.52756232
1997-06-05T08:33:00	0.53363079
1997-06-05T08:34:00	0.53933245
1997-06-05T08:35:00	0.54465479
1997-06-05T08:36:00	0.54958642
1997-06-05T08:37:00	0.55411845
1997-06-05T08:38:00	0.55824286
1997-06-05T08:39:00	0.56195283
1997-06-05T08:40:00	0.5652439
1997-06-05T08:41:00	0.56811357
1997-06-05T08:42:00	0.57055891
1997-06-05T08:43:00	0.57257921
1997-06-05T08:44:00	0.57417446
1997-06-05T08:45:00	0.57534468
1997-06-05T08:46:00	0.57609153
1997-06-05T08:47:00	0.57642019
1997-06-05T08:48:00	0.57633507
1997-06-05T08:49:00	0.57584512
1997-06-05T08:50:00	0.57496023
1997-06-05T08:51:00	0.57369101
1997-06-05T08:52:00	0.57205194
1997-06-05T08:53:00	0.57005584
1997-06-05T08:54:00	0.56771803
1997-06-05T08:55:00	0.56505406
1997-06-05T08:56:00	0.56207979
1997-06-05T08:57:00	0.55881077
1997-06-05T08:58:00	0.5552634
1997-06-05T08:59:00	0.55145359
1997-06-05T09:00:00	0.54739702
1997-06-05T09:01:00	0.54310989
1997-06-05T09:02:00	0.53860748
1997-06-05T09:03:00	0.53390592
1997-06-05T09:04:00	0.52901942
1997-06-05T09:05:00	0.52396268
1997-06-05T09:06:00	0.51875097
1997-06-05T09:07:00	0.51339781
1997-06-05T09:08:00	0.50791657
1997-06-05T09:09:00	0.50232047
1997-06-05T09:10:00	0.49662164
1997-06-05T09:11:00	0.49083191
1997-06-05T09:12:00	0.48496175
1997-06-05T09:13:00	0.47901976
1997-06-05T09:14:00	0.4730134
1997-06-05T09:15:00	0.46695024
1997-06-05T09:16:00	0.46083808
1997-06-05T09:17:00	0.4546831
1997-06-05T09:18:00	0.44849059
1997-06-05T09:19:00	0.44226396
1997-06-05T09:20:00	0.43600526
1997-06-05T09:21:00	0.42971691
1997-06-05T09:22:00	0.42340222
1997-06-05T09:23:00	0.41706616
1997-06-05T09:24:00	0.41071418
1997-06-05T09:25:00	0.40435252
1997-06-05T09:26:00	0.39798605
1997-06-05T09:27:00	0.39161938
1997-06-05T09:28:00	0.38525546
1997-06-05T09:29:00	0.37889585
1997-06-05T09:30:00	0.37254193
1997-06-05T09:31:00	0.3661947
1997-06-05T09:32:00	0.35985425
1997-06-05T09:33:00	0.35352114
1997-06-05T09:34:00	0.3471956
1997-06-05T09:35:00	0.34087843
1997-06-05T09:36:00	0.33456945
1997-06-05T09:37:00	0.32826975
1997-06-05T09:38:00	0.32198015
1997-06-05T09:39:00	0.31570169
1997-06-05T09:40:00	0.3094362
1997-06-05T09:41:00	0.30318582
1997-06-05T09:42:00	0.29695287
1997-06-05T09:43:00	0.29074031
1997-06-05T09:44:00	0.28455162
1997-06-05T09:45:00	0.27839008
1997-06-05T09:46:00	0.2722598
1997-06-05T09:47:00	0.26616454
1997-06-05T09:48:00	0.2601088
1997-06-05T09:49:00	0.25409639
1997-06-05T09:50:00	0.24813105
1997-06-05T09:51:00	0.24221684
1997-06-05T09:52:00	0.23635715
1997-06-05T09:53:00	0.2305557
1997-06-05T09:54:00	0.22481553
1997-06-05T09:55:00	0.21914002
1997-06-05T09:56:00	0.2135319
1997-06-05T09:57:00	0.20799401
1997-06-05T09:58:00	0.20252895
1997-06-05T09:59:00	0.19713929
1997-06-05T10:00:00	0.19182728
1997-06-05T10:01:00	0.18659537
1997-06-05T10:02:00	0.18144536
1997-06-05T10:03:00	0.17637932
1997-06-05T10:04:00	0.17139921
1997-06-05T10:05:00	0.16650645
1997-06-05T10:06:00	0.16170283
1997-06-05T10:07:00	0.15698959
1997-06-05T10:08:00	0.15236755
1997-06-05T10:09:00	0.14783815
1997-06-05T10:10:00	0.14340191
1997-06-05T10:11:00	0.13905941
1997-06-05T10:12:00	0.13481092
1997-06-05T10:13:00	0.13065663
1997-06-05T10:14:00	0.1265965
1997-06-05T10:15:00	0.12263033
1997-06-05T10:16:00	0.11875785
1997-06-05T10:17:00	0.11497857
1997-06-05T10:18:00	0.11129205
1997-06-05T10:19:00	0.10769738
1997-06-05T10:20:00	0.10419385
1997-06-05T10:21:00	0.10078052
1997-06-05T10:22:00	0.097456343
1997-06-05T10:23:00	0.094220407
1997-06-05T10:24:00	0.091071434
1997-06-05T10:25:00	0.088008277
1997-06-05T10:26:00	0.08502958
1997-06-05T10:27:00	0.082134128
1997-06-05T10:28:00	0.079320587
1997-06-05T10:29:00	0.076587506
1997-06-05T10:30:00	0.073933482
1997-06-05T10:31:00	0.071357101
1997-06-05T10:32:00	0.068856925
1997-06-05T10:33:00	0.066431515
1997-06-05T10:34:00	0.064079314
1997-06-05T10:35:00	0.061798848
1997-06-05T10:36:00	0.059588563
1997-06-05T10:37:00	0.057446904
1997-06-05T10:38:00	0.055372275
1997-06-05T10:39:00	0.053363137
1997-06-05T10:40:00	0.051417913
1997-06-05T10:41:00	0.049535014
1997-06-05T10:42:00	0.047712829
1997-06-05T10:43:00	0.045949828
1997-06-05T10:44:00	0.044244438
1997-06-05T10:45:00	0.042595148
1997-06-05T10:46:00	0.041000381
1997-06-05T10:47:00	0.039458703
1997-06-05T10:48:00	0.037968636
1997-06-05T10:49:00	0.036528759
1997-06-05T10:50:00	0.035137691
1997-06-05T10:51:00	0.03379409
1997-06-05T10:52:00	0.032496631
1997-06-05T10:53:00	0.031243978
1997-06-05T10:54:00	0.030034874
1997-06-05T10:55:00	0.028868049
1997-06-05T10:56:00	0.027742233
1997-06-05T10:57:00	0.026656229
1997-06-05T10:58:00	0.025608776
1997-06-05T10:59:00	0.02459869
1997-06-05T11:00:00	0.02362477
1997-06-05T11:01:00	0.022685893
1997-06-05T11:02:00	0.021780906
1997-06-05T11:03:00	0.020908719
1997-06-05T11:04:00	0.020068236
1997-06-05T11:05:00	0.019258445
1997-06-05T11:06:00	0.018478312
1997-06-05T11:07:00	0.017726837
1997-06-05T11:08:00	0.017003069
1997-06-05T11:09:00	0.01630605
1997-06-05T11:10:00	0.015634881
1997-06-05T11:11:00	0.014988706
1997-06-05T11:12:00	0.014366656
1997-06-05T11:13:00	0.01376792
1997-06-05T11:14:00	0.013191699
1997-06-05T11:15:00	0.012637217
1997-06-05T11:16:00	0.012103721
1997-06-05T11:17:00	0.011590492
1997-06-05T11:18:00	0.01109683
1997-06-05T11:19:00	0.010622066
1997-06-05T11:20:00	0.010165543
1997-06-05T11:21:00	0.0097266333
1997-06-05T11:22:00	0.0093047321
1997-06-05T11:23:00	0.008899237
1997-06-05T11:24:00	0.0085095679
1997-06-05T11:25:00	0.0081351688
1997-06-05T11:26:00	0.0077755
1997-06-05T11:27:00	0.0074300379
1997-06-05T11:28:00	0.0070982855
1997-06-05T11:29:00	0.0067797615
1997-06-05T11:30:00	0.0064739855
1997-06-05T11:31:00	0.0061805118
1997-06-05T11:32:00	0.0058988878
1997-06-05T11:33:00	0.0056286822
1997-06-05T11:34:00	0.00536947
1997-06-05T11:35:00	0.0051208502
1997-06-05T11:36:00	0.0048824325
1997-06-05T11:37:00	0.0046538492
1997-06-05T11:38:00	0.0044347295
1997-06-05T11:39:00	0.004224726
1997-06-05T11:40:00	0.0040235026
1997-06-05T11:41:00	0.0038307284
1997-06-05T11:42:00	0.0036460911
1997-06-05T11:43:00	0.0034692965
1997-06-05T11:44:00	0.0033000663
1997-06-05T11:45:00	0.0031381419
1997-06-05T11:46:00	0.0029832732
1997-06-05T11:47:00	0.0028352235
1997-06-05T11:48:00	0.0026937597
1997-06-05T11:49:00	0.0025586544
1997-06-05T11:50:00	0.0024296762
1997-06-05T11:51:00	0.0023066078
1997-06-05T11:52:00	0.0021892234
1997-06-05T11:53:00	0.0020773099
1997-06-05T11:54:00	0.0019706485
1997-06-05T11:55:00	0.0018690313
1997-06-05T11:56:00	0.0017722582
1997-06-05T11:57:00	0.00168015
1997-06-05T11:58:00	0.0015925554
1997-06-05T11:59:00	0.0015093685
1997-06-05T12:00:00	0.0014305462
1997-06-05T12:01:00	0.00135611
1997-06-05T12:02:00	0.00128616
1997-06-05T12:03:00	0.0012208604
1997-06-05T12:04:00	0.0011604336
1997-06-05T12:05:00	0.0011051374
1997-06-05T12:06:00	0.0010552509
1997-06-05T12:07:00	0.0010110402
1997-06-05T12:08:00	0.00097274507
1997-06-05T12:09:00	0.00094055885
1997-06-05T12:10:00	0.00091461552
1997-06-05T12:11:00	0.00089498446
1997-06-05T12:12:00	0.00088166865
1997-06-05T12:13:00	0.00087460823
1997-06-05T12:14:00	0.00087368698
1997-06-05T12:15:00	0.00087873684
1997-06-05T12:16:00	0.00088954851
1997-06-05T12:17:00	0.00090587093
1997-06-05T12:18:00	0.00092742423
1997-06-05T12:19:00	0.00095390459
1997-06-05T12:20:00	0.00098500145
1997-06-05T12:21:00	0.0010204209
1997-06-05T12:22:00	0.0010599118
1997-06-05T12:23:00	0.0011033005
1997-06-05T12:24:00	0.0011505116
1997-06-05T12:25:00	0.0012015825
1997-06-05T12:26:00	0.0012566665
1997-06-05T12:27:00	0.0013160245
1997-06-05T12:28:00	0.0013799989
1997-06-05T12:29:00	0.0014489968
1997-06-05T12:30:00	0.0015234799
1997-06-05T12:31:00	0.001603964
1997-06-05T12:32:00	0.001691037
1997-06-05T12:33:00	0.0017854107
1997-06-05T12:34:00	0.001887987
1997-06-05T12:35:00	0.0019999251
1997-06-05T12:36:00	0.0021226772
1997-06-05T12:37:00	0.0022579702
1997-06-05T12:38:00	0.0024077322
1997-06-05T12:39:00	0.0025739805
1997-06-05T12:40:00	0.002758756
1997-06-05T12:41:00	0.0029641099
1997-06-05T12:42:00	0.0031922059
1997-06-05T12:43:00	0.0034454765
1997-06-05T12:44:00	0.0037267494
1997-06-05T12:45:00	0.0040392498
1997-06-05T12:46:00	0.0043864981
1997-06-05T12:47:00	0.0047720661
1997-06-05T12:48:00	0.0051992852
1997-06-05T12:49:00	0.0056709549
1997-06-05T12:50:00	0.0061890748
1997-06-05T12:51:00	0.0067546754
1997-06-05T12:52:00	0.0073677213
1997-06-05T12:53:00	0.0080270953
1997-06-05T12:54:00	0.0087306723
1997-06-05T12:55:00	0.0094753923
1997-06-05T12:56:00	0.010257468
1997-06-05T12:57:00	0.011072563
1997-06-05T12:58:00	0.011916036
1997-06-05T12:59:00	0.012783144
1997-06-05T13:00:00	0.013669268
1997-06-05T13:01:00	0.014570083
1997-06-05T13:02:00	0.01548171
1997-06-05T13:03:00	0.016400777
1997-06-05T13:04:00	0.017324507
1997-06-05T13:05:00	0.018250708
1997-06-05T13:06:00	0.019177726
1997-06-05T13:07:00	0.020104347
1997-06-05T13:08:00	0.021029774
1997-06-05T13:09:00	0.021953465
1997-06-05T13:10:00	0.022875067
1997-06-05T13:11:00	0.023794334
1997-06-05T13:12:00	0.024711024
1997-06-05T13:13:00	0.025624834
1997-06-05T13:14:00	0.026535364
1997-06-05T13:15:00	0.027442036
1997-06-05T13:16:00	0.028344065
1997-06-05T13:17:00	0.029240405
1997-06-05T13:18:00	0.030129801
1997-06-05T13:19:00	0.031010749
1997-06-05T13:20:00	0.031881481
1997-06-05T13:21:00	0.032739941
1997-06-05T13:22:00	0.033583969
1997-06-05T13:23:00	0.03441114
1997-06-05T13:24:00	0.035218894
1997-06-05T13:25:00	0.036004629
1997-06-05T13:26:00	0.03676562
1997-06-05T13:27:00	0.037499163
1997-06-05T13:28:00	0.038202588
1997-06-05T13:29:00	0.038873319
1997-06-05T13:30:00	0.039508894
1997-06-05T13:31:00	0.040107027
1997-06-05T13:32:00	0.040665597
1997-06-05T13:33:00	0.041182708
1997-06-05T13:34:00	0.041656721
1997-06-05T13:35:00	0.042086251
1997-06-05T13:36:00	0.042470135
1997-06-05T13:37:00	0.042807493
1997-06-05T13:38:00	0.043097753
1997-06-05T13:39:00	0.043340661
1997-06-05T13:40:00	0.043536227
1997-06-05T13:41:00	0.043684736
1997-06-05T13:42:00	0.043786701
1997-06-05T13:43:00	0.043842968
1997-06-05T13:44:00	0.04385455
1997-06-05T13:45:00	0.043822642
1997-06-05T13:46:00	0.043748651
1997-06-05T13:47:00	0.043634132
1997-06-05T13:48:00	0.043480735
1997-06-05T13:49:00	0.043290224
1997-06-05T13:50:00	0.043064434
1997-06-05T13:51:00	0.042805284
1997-06-05T13:52:00	0.042514689
1997-06-05T13:53:00	0.042194679
1997-06-05T13:54:00	0.041847121
1997-06-05T13:55:00	0.041474089
1997-06-05T13:56:00	0.041077465
1997-06-05T13:57:00	0.040659074
1997-06-05T13:58:00	0.040220752
1997-06-05T13:59:00	0.039764181
1997-06-05T14:00:00	0.039290957
1997-06-05T14:01:00	0.038802721
1997-06-05T14:02:00	0.038300924
1997-06-05T14:03:00	0.037787031
1997-06-05T14:04:00	0.037262455
1997-06-05T14:05:00	0.036728527
1997-06-05T14:06:00	0.036186405
